artist_id,confidence_score,http_status,label,last_checked_at,link_id,link_type,record_company_id,redirect_url,source_url,url,validation_status
,0.99,200,About,2026-07-25T04:54:16.087Z,rcl_85c9f4ad,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/about,verified
,0.99,200,Artists,2026-07-25T04:54:16.212Z,rcl_d51e1223,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/,verified
rca_01f22af2,0.99,200,About,2026-07-25T03:39:28.835Z,rcl_6632d407,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/fuzzrays,https://www.lanewaymusic.com.au/about,verified
rca_01f22af2,0.99,200,Artists,2026-07-25T03:39:28.964Z,rcl_6fd02bad,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/fuzzrays,https://www.lanewaymusic.com.au/,verified
rca_0443ced3,0.99,200,About,2026-07-25T03:57:37.618Z,rcl_4f4412c9,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/spencerpjones,https://www.lanewaymusic.com.au/about,verified
rca_0443ced3,0.99,200,Artists,2026-07-25T03:57:37.741Z,rcl_c66b4f97,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/spencerpjones,https://www.lanewaymusic.com.au/,verified
rca_09ede191,0.99,200,About,2026-07-25T04:08:10.011Z,rcl_b54d5b8f,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/virgin-soldiers,https://www.lanewaymusic.com.au/about,verified
rca_09ede191,0.99,200,Artists,2026-07-25T04:08:10.150Z,rcl_dbf05e95,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/virgin-soldiers,https://www.lanewaymusic.com.au/,verified
rca_132f9f23,0.99,200,About,2026-07-25T03:33:00.467Z,rcl_42181551,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/thechosenfew-deathwish,https://www.lanewaymusic.com.au/about,verified
rca_132f9f23,0.99,200,Artists,2026-07-25T03:33:00.615Z,rcl_7322fd1f,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/thechosenfew-deathwish,https://www.lanewaymusic.com.au/,verified
rca_1677cfec,0.99,200,About,2026-07-25T03:45:19.856Z,rcl_08d3a405,about,rc_b9181116,https://www.lanewaymusic.com.au/about,https://www.lanewaymusic.com.au/kerryntolhurst,https://www.lanewaymusic.com.au/about,verified
rca_1677cfec,0.99,200,Artists,2026-07-25T03:45:20.000Z,rcl_aade7d9b,artists,rc_b9181116,https://www.lanewaymusic.com.au/,https://www.lanewaymusic.com.au/kerryntolhurst,https://www.lanewaymusic.com.au/,verified
